event_id,source_id,title,category,start_time,end_time,cost,location,solo_friendly,source_url,last_checked,zip_code,lat,lon,vibe_tags,image_url
evt-001,nyc-social-sports-league,Wednesday Pickup Volleyball,active,2026-07-22T18:30:00,2026-07-22T20:30:00,10,Pier 25 Volleyball Courts,true,https://nycsocialsportsleague.example.org/volleyball,2026-07-01,10007,40.7196,-74.0129,energetic|social,
evt-002,free-kayaking-nyc,Free Walk-Up Kayaking Session,outdoors,2026-07-20T09:00:00,2026-07-20T12:00:00,0,Pier 96 Boathouse,true,https://freekayaking.example.org/schedule,2026-06-15,10036,40.7686,-73.9918,chill|energetic,
evt-003,volunteer-shift-market,Food Pantry Sorting Shift,volunteer,2026-07-21T13:00:00,2026-07-21T16:00:00,0,West Side Community Pantry,true,https://volunteershifts.example.org/shifts/1423,2026-07-10,10024,40.7870,-73.9754,chill|social,
evt-004,polyglot-exchange-nyc,Spanish-English Language Exchange,social,2026-07-23T19:00:00,2026-07-23T21:00:00,5,Think Coffee - Bleecker St,true,https://polyglotnyc.example.org/events/45,2026-07-05,10012,40.7286,-73.9987,social|chill,
evt-005,open-mic-collective,Tuesday Open Mic Night,culture,2026-07-21T20:00:00,2026-07-21T22:30:00,0,The Bowery Poetry Club,true,https://instagram.com/example_openmic,2026-07-12,10003,40.7265,-73.9918,creative|social,
evt-006,nyc-social-sports-league,Saturday Beginner Kickball,active,2026-07-25T10:00:00,2026-07-25T12:00:00,10,McCarren Park Fields,true,https://nycsocialsportsleague.example.org/kickball,2026-07-01,11222,40.7220,-73.9505,energetic|social,
evt-007,free-kayaking-nyc,Free Walk-Up Kayaking Session (Weekend),outdoors,2026-07-26T09:00:00,2026-07-26T12:00:00,0,Pier 96 Boathouse,true,https://freekayaking.example.org/schedule,2026-06-15,10036,40.7686,-73.9918,chill|energetic,
evt-008,volunteer-shift-market,Community Garden Weeding Shift,volunteer,2026-07-24T17:00:00,2026-07-24T19:00:00,0,Bushwick Community Garden,true,https://volunteershifts.example.org/shifts/1500,2026-07-10,11237,40.6944,-73.9213,chill|solo_focus,
evt-009,open-mic-collective,Last Week's Open Mic Night,culture,2026-07-13T20:00:00,2026-07-13T22:30:00,0,The Bowery Poetry Club,true,https://instagram.com/example_openmic,2026-07-05,10003,40.7265,-73.9918,creative|social,
evt-010,closed-yoga-studio,Sunday Morning Yoga (Ghost Listing),active,2026-07-27T09:00:00,2026-07-27T10:00:00,15,Studio Location TBD,true,https://closedyogastudio.example.org/yoga,2026-05-01,10001,40.7506,-73.9972,chill|solo_focus,
evt-011,open-mic-collective,Mystery Price Open Mic,culture,2026-07-28T20:00:00,2026-07-28T22:00:00,,The Bowery Poetry Club,true,https://instagram.com/example_openmic,2026-07-12,10003,40.7265,-73.9918,creative|social,
evt-012,nyc-social-sports-league,Sunday Soccer (No Link Yet),active,2026-07-29T10:00:00,2026-07-29T12:00:00,10,Pier 40 Fields,true,,2026-07-01,10007,40.7196,-74.0129,energetic|social,
